default,t_risco,valor_emprestimo,prazo_pagamento,limite_credito,renda,signo,genero,perfil_facebook,n_emprestimos_inadiplentes
False,0.43,20024.31,60.0,62386.0,59869.05,virg,f,True,0.0
False,0.23,10046.51,36.0,,46016.31,sagi,f,False,0.0
False,0.3,21228.25,60.0,,48025.47,libr,m,True,0.0
False,0.15,23032.33,36.0,,46011.12,,m,False,0.0
False,0.08,24026.29,36.0,32366.0,90026.17,libr,m,,0.0
False,0.22,8007.11,36.0,,43008.57,,f,False,0.0
False,0.42,10072.16,36.0,0.0,39335.52,virg,m,False,0.0
False,0.42,16016.97,60.0,102018.0,98772.0,,m,True,0.0
False,0.36,11517.24,60.0,0.0,62014.4,,f,False,0.0
False,0.24,11539.08,36.0,82310.0,85022.96,,f,True,0.0
True,0.25,14036.89,36.0,9953.0,40013.13,capr,m,True,0.0
False,0.17,9020.12,36.0,25000.0,37018.58,arie,m,False,0.0
False,0.31,1418.09,36.0,0.0,50015.28,libr,m,False,0.0
False,0.21,12018.15,36.0,81319.0,72026.34,libr,m,False,0.0
,0.25,12409.15,60.0,22627.0,49173.16,,f,True,0.0
,0.27,12319.32,60.0,48213.0,35395.53,capr,,True,0.0
False,0.12,8022.18,36.0,63601.0,160033.68,arie,m,False,0.0
False,0.33,2529.0,36.0,,40228.19,pisce,m,False,0.0
True,0.17,19012.19,36.0,,43205.19,,m,False,0.0
False,0.52,35019.04,36.0,67091.0,95014.57,cance,m,False,0.0
False,0.23,12021.03,36.0,54200.0,62010.54,,m,False,0.0
False,0.13,5021.16,36.0,,31893.23,pisce,f,True,0.0
False,0.33,22084.74,36.0,55125.0,70046.44,virg,m,False,0.0
False,0.34,21621.9,60.0,,72012.31,virg,f,,0.0
False,0.15,20015.15,36.0,,154016.87,,m,False,0.0
False,0.3,5021.59,36.0,0.0,50010.83,,m,False,0.0
False,0.2,18018.14,60.0,,121030.61,scor,,,0.0
True,0.31,35017.06,36.0,41329.0,121020.48,sagi,m,True,0.0
True,0.61,35018.67,60.0,,80019.03,aqua,m,False,0.0
False,0.17,24017.18,60.0,56497.0,98522.57,scor,m,False,0.0
False,0.33,24608.49,60.0,0.0,110039.83,gemi,,True,0.0
False,0.48,21861.88,60.0,0.0,50024.71,,m,False,0.0
False,0.38,7015.87,36.0,34039.0,75015.06,capr,f,True,0.0
False,0.3,11017.37,36.0,,100007.72,libr,m,False,0.0
False,0.25,18018.63,36.0,34819.0,64032.34,gemi,m,True,0.0
False,0.17,14016.94,36.0,34558.0,65035.38,cance,m,False,0.0
False,0.21,7163.14,36.0,0.0,31039.94,scor,m,False,0.0
True,0.39,9027.82,36.0,,120011.02,,m,,0.0
True,0.32,20030.5,36.0,,75025.55,cance,m,False,0.0
False,0.36,8017.69,36.0,68662.0,97026.06,arie,m,False,0.0
False,0.33,5836.35,36.0,18943.0,34028.06,capr,m,False,0.0
False,0.23,13029.77,36.0,,34012.22,,f,,0.0
False,0.27,8065.77,36.0,39315.0,76029.91,,m,,0.0
False,0.39,35014.82,36.0,,280018.58,sagi,f,,0.0
False,0.21,25022.98,36.0,0.0,57021.26,scor,f,False,0.0
False,0.17,12264.77,36.0,18358.0,40034.66,,m,False,0.0
False,0.17,9027.18,36.0,0.0,35027.54,virg,m,,0.0
False,0.53,8532.04,36.0,7305.0,60006.22,cance,f,False,0.0
False,0.22,25013.52,36.0,0.0,91395.77,leo,f,False,0.0
False,0.31,15018.09,60.0,,54928.32,,m,True,0.0
False,0.27,10523.5,36.0,15579.0,41015.46,virg,m,True,0.0
False,0.6,12712.34,60.0,28032.0,60017.9,pisce,m,False,0.0
False,0.35,10072.79,36.0,24955.0,47034.18,virg,f,False,0.0
True,0.27,6456.07,36.0,15135.0,25021.44,cance,f,False,0.0
True,0.47,32912.32,36.0,108776.0,102017.85,pisce,f,True,0.0
False,0.24,18022.76,36.0,25336.0,93643.24,scor,f,False,0.0
False,0.51,8016.58,36.0,20249.0,25029.67,arie,m,False,0.0
False,0.25,12325.14,36.0,15000.0,67015.18,,m,False,0.0
False,0.24,9022.39,36.0,0.0,90021.44,virg,f,False,0.0
False,0.25,35028.21,60.0,19848.0,93015.49,capr,m,,0.0
False,0.46,24042.09,60.0,0.0,165016.32,libr,m,,0.0
True,0.38,17493.32,60.0,11355.0,50023.68,gemi,m,True,0.0
False,0.32,14424.47,36.0,0.0,102022.43,virg,f,True,0.0
False,0.2,14411.63,36.0,,96252.09,cance,m,False,0.0
,0.51,10013.76,60.0,0.0,34016.32,,,True,0.0
False,0.29,10027.11,36.0,,85029.31,,m,False,0.0
False,0.37,14529.0,36.0,55330.0,105015.15,cance,,True,0.0
False,0.49,20010.67,36.0,19946.0,75014.76,cance,m,True,0.0
False,0.36,8415.26,36.0,32277.0,24019.78,gemi,m,False,0.0
False,0.26,6022.08,36.0,97155.0,176014.63,libr,m,True,0.0
False,0.33,10061.69,36.0,24277.0,30026.51,cance,f,False,0.0
False,0.33,4024.82,36.0,22119.0,32040.91,sagi,m,True,0.0
False,0.16,2641.09,36.0,,48026.0,scor,m,False,0.0
False,0.3,1812.98,36.0,,9618.99,,f,False,0.0
,,,,,,,,True,
False,0.32,4820.09,36.0,,71747.12,aqua,m,False,0.0
